date,type,value
2025-12-26,HKCategoryValueSleepAnalysisAsleepCore,231.1
2025-12-26,HKCategoryValueSleepAnalysisAsleepDeep,69.1
2025-12-26,HKCategoryValueSleepAnalysisAsleepREM,84.2
2025-12-26,HKQuantityTypeIdentifierRestingHeartRate,63.9
2025-12-26,HKQuantityTypeIdentifierStepCount,7100.0
2025-12-26,HKQuantityTypeIdentifierAppleExerciseTime,67.2
2025-12-26,training_load_score,107.4
2025-12-26,stress_score,50.7
2025-12-27,HKCategoryValueSleepAnalysisAsleepCore,231.1
2025-12-27,HKCategoryValueSleepAnalysisAsleepDeep,69.1
2025-12-27,HKCategoryValueSleepAnalysisAsleepREM,84.2
2025-12-27,HKQuantityTypeIdentifierRestingHeartRate,72.4
2025-12-27,HKQuantityTypeIdentifierStepCount,7692.0
2025-12-27,HKQuantityTypeIdentifierAppleExerciseTime,73.2
2025-12-27,training_load_score,132.5
2025-12-27,stress_score,29.71
2025-12-28,HKCategoryValueSleepAnalysisAsleepCore,230.0
2025-12-28,HKCategoryValueSleepAnalysisAsleepDeep,68.0
2025-12-28,HKCategoryValueSleepAnalysisAsleepREM,83.2
2025-12-28,HKQuantityTypeIdentifierRestingHeartRate,69.6
2025-12-28,HKQuantityTypeIdentifierStepCount,6992.0
2025-12-28,HKQuantityTypeIdentifierAppleExerciseTime,66.0
2025-12-28,training_load_score,114.8
2025-12-28,stress_score,32.03
2025-12-29,HKCategoryValueSleepAnalysisAsleepCore,224.6
2025-12-29,HKCategoryValueSleepAnalysisAsleepDeep,67.0
2025-12-29,HKCategoryValueSleepAnalysisAsleepREM,81.0
2025-12-29,HKQuantityTypeIdentifierRestingHeartRate,66.7
2025-12-29,HKQuantityTypeIdentifierStepCount,8164.0
2025-12-29,HKQuantityTypeIdentifierAppleExerciseTime,78.0
2025-12-29,training_load_score,130.1
2025-12-29,stress_score,32.85
2025-12-30,HKCategoryValueSleepAnalysisAsleepCore,219.2
2025-12-30,HKCategoryValueSleepAnalysisAsleepDeep,64.8
2025-12-30,HKCategoryValueSleepAnalysisAsleepREM,79.9
2025-12-30,HKQuantityTypeIdentifierRestingHeartRate,67.7
2025-12-30,HKQuantityTypeIdentifierStepCount,5906.0
2025-12-30,HKQuantityTypeIdentifierAppleExerciseTime,56.4
2025-12-30,training_load_score,95.4
2025-12-30,stress_score,49.26
2025-12-31,HKCategoryValueSleepAnalysisAsleepCore,233.3
2025-12-31,HKCategoryValueSleepAnalysisAsleepDeep,69.1
2025-12-31,HKCategoryValueSleepAnalysisAsleepREM,84.2
2025-12-31,HKQuantityTypeIdentifierRestingHeartRate,63.9
2025-12-31,HKQuantityTypeIdentifierStepCount,6358.0
2025-12-31,HKQuantityTypeIdentifierAppleExerciseTime,60.0
2025-12-31,training_load_score,95.9
2025-12-31,stress_score,34.47
2026-01-01,HKCategoryValueSleepAnalysisAsleepCore,247.3
2026-01-01,HKCategoryValueSleepAnalysisAsleepDeep,73.4
2026-01-01,HKCategoryValueSleepAnalysisAsleepREM,89.6
2026-01-01,HKQuantityTypeIdentifierRestingHeartRate,66.7
2026-01-01,HKQuantityTypeIdentifierStepCount,8342.0
2026-01-01,HKQuantityTypeIdentifierAppleExerciseTime,79.2
2026-01-01,training_load_score,132.1
2026-01-01,stress_score,28.2
2026-01-02,HKCategoryValueSleepAnalysisAsleepCore,231.1
2026-01-02,HKCategoryValueSleepAnalysisAsleepDeep,69.1
2026-01-02,HKCategoryValueSleepAnalysisAsleepREM,84.2
2026-01-02,HKQuantityTypeIdentifierRestingHeartRate,65.8
2026-01-02,HKQuantityTypeIdentifierStepCount,8095.0
2026-01-02,HKQuantityTypeIdentifierAppleExerciseTime,76.8
2026-01-02,training_load_score,126.3
2026-01-02,stress_score,53.8
2026-01-03,HKCategoryValueSleepAnalysisAsleepCore,216.0
2026-01-03,HKCategoryValueSleepAnalysisAsleepDeep,63.7
2026-01-03,HKCategoryValueSleepAnalysisAsleepREM,78.8
2026-01-03,HKQuantityTypeIdentifierRestingHeartRate,68.6
2026-01-03,HKQuantityTypeIdentifierStepCount,4940.0
2026-01-03,HKQuantityTypeIdentifierAppleExerciseTime,46.8
2026-01-03,training_load_score,80.3
2026-01-03,stress_score,51.07
2026-01-04,HKCategoryValueSleepAnalysisAsleepCore,223.6
2026-01-04,HKCategoryValueSleepAnalysisAsleepDeep,65.9
2026-01-04,HKCategoryValueSleepAnalysisAsleepREM,81.0
2026-01-04,HKQuantityTypeIdentifierRestingHeartRate,72.4
2026-01-04,HKQuantityTypeIdentifierStepCount,7815.0
2026-01-04,HKQuantityTypeIdentifierAppleExerciseTime,74.4
2026-01-04,training_load_score,134.6
2026-01-04,stress_score,37.14
2026-01-05,HKCategoryValueSleepAnalysisAsleepCore,246.2
2026-01-05,HKCategoryValueSleepAnalysisAsleepDeep,73.4
2026-01-05,HKCategoryValueSleepAnalysisAsleepREM,89.6
2026-01-05,HKQuantityTypeIdentifierRestingHeartRate,64.9
2026-01-05,HKQuantityTypeIdentifierStepCount,7932.0
2026-01-05,HKQuantityTypeIdentifierAppleExerciseTime,75.6
2026-01-05,training_load_score,122.6
2026-01-05,stress_score,35.98
2026-01-06,HKCategoryValueSleepAnalysisAsleepCore,235.4
2026-01-06,HKCategoryValueSleepAnalysisAsleepDeep,69.1
2026-01-06,HKCategoryValueSleepAnalysisAsleepREM,85.3
2026-01-06,HKQuantityTypeIdentifierRestingHeartRate,63.9
2026-01-06,HKQuantityTypeIdentifierStepCount,5846.0
2026-01-06,HKQuantityTypeIdentifierAppleExerciseTime,55.2
2026-01-06,training_load_score,88.2
2026-01-06,stress_score,29.56
2026-01-07,HKCategoryValueSleepAnalysisAsleepCore,257.0
2026-01-07,HKCategoryValueSleepAnalysisAsleepDeep,76.7
2026-01-07,HKCategoryValueSleepAnalysisAsleepREM,92.9
2026-01-07,HKQuantityTypeIdentifierRestingHeartRate,71.4
2026-01-07,HKQuantityTypeIdentifierStepCount,6261.0
2026-01-07,HKQuantityTypeIdentifierAppleExerciseTime,60.0
2026-01-07,training_load_score,107.2
2026-01-07,stress_score,40.27
2026-01-08,HKCategoryValueSleepAnalysisAsleepCore,289.4
2026-01-08,HKCategoryValueSleepAnalysisAsleepDeep,85.3
2026-01-08,HKCategoryValueSleepAnalysisAsleepREM,104.8
2026-01-08,HKQuantityTypeIdentifierRestingHeartRate,65.8
2026-01-08,HKQuantityTypeIdentifierStepCount,7632.0
2026-01-08,HKQuantityTypeIdentifierAppleExerciseTime,73.2
2026-01-08,training_load_score,120.4
2026-01-08,stress_score,29.7
2026-01-09,HKCategoryValueSleepAnalysisAsleepCore,251.6
2026-01-09,HKCategoryValueSleepAnalysisAsleepDeep,74.5
2026-01-09,HKCategoryValueSleepAnalysisAsleepREM,91.8
2026-01-09,HKQuantityTypeIdentifierRestingHeartRate,63.9
2026-01-09,HKQuantityTypeIdentifierStepCount,7579.0
2026-01-09,HKQuantityTypeIdentifierAppleExerciseTime,72.0
2026-01-09,training_load_score,115.1
2026-01-09,stress_score,23.39
2026-01-10,HKCategoryValueSleepAnalysisAsleepCore,256.0
2026-01-10,HKCategoryValueSleepAnalysisAsleepDeep,75.6
2026-01-10,HKCategoryValueSleepAnalysisAsleepREM,92.9
2026-01-10,HKQuantityTypeIdentifierRestingHeartRate,63.0
2026-01-10,HKQuantityTypeIdentifierStepCount,8704.0
2026-01-10,HKQuantityTypeIdentifierAppleExerciseTime,82.8
2026-01-10,training_load_score,130.4
2026-01-10,stress_score,36.78
